"created","favoriteCount","favorited","id","isRetweet","latitude","longitude","replyToSID","replyToSN","replyToUID","retweetCount","retweeted","screenName","statusSource","text","truncated"
"2018-09-04",0,FALSE,"1036791712947953664",TRUE,NA,NA,NA,NA,NA,467,FALSE,"SanjeevVarlani","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @anujg: 'BJP's return in 2019 would set India on a high-growth path for the next decade'
https://t.co/bi6jjf4E8N",FALSE
"2018-09-04",0,FALSE,"1036791710972432384",FALSE,NA,NA,NA,NA,NA,0,FALSE,"PhilstarNews","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Home designs come to life at LiveXDesign https://t.co/OcTtGiiUM8",FALSE
"2018-09-04",0,FALSE,"1036791708833468417",TRUE,NA,NA,NA,NA,NA,2,FALSE,"aanand_shilpi","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Kanwal33: 8) without winding up the business
d.

e. How many companies from this list never filed any tax returns and had no transactio…",FALSE
"2018-09-04",0,FALSE,"1036791708397105152",FALSE,NA,NA,NA,NA,NA,0,FALSE,"FaustoAFP","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Y'all should follow my boy because
1. You'll be supporting a local business
2. He's putting in serious work to beco… https://t.co/N7Zoj3GsOD",TRUE
"2018-09-04",0,FALSE,"1036791708376293376",FALSE,NA,NA,NA,NA,NA,0,FALSE,"GPD_BusinessC","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Contrata 6 meses de oficina y obtén el 7mo gratis. Haz negocios en serio en GPD Business Center.",FALSE
"2018-09-04",0,FALSE,"1036791708162424832",TRUE,NA,NA,NA,NA,NA,3018,FALSE,"T_Tony_Tone","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","RT @jemelehill: I’m just here to remind folks that last year Colin Kaepernick was in the top 50 in NFL jersey sales, despite not being on a…",FALSE
"2018-09-04",0,FALSE,"1036791707990482945",TRUE,NA,NA,NA,NA,NA,4551,FALSE,"mjjmnyc","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @RealCandaceO: Congratulations to @adidas for a wonderful win in business today! 

They are proof that sometimes all you have to do is s…",FALSE
"2018-09-04",0,FALSE,"1036791707189297152",FALSE,NA,NA,NA,NA,NA,0,FALSE,"ntdailyonline","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","పెట్రో ధర భగభగ
https://t.co/yodNVtWluR",FALSE
"2018-09-04",0,FALSE,"1036791706954424320",FALSE,NA,NA,NA,NA,NA,0,FALSE,"KirkProductions","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","Buy or lease my #domain and #brand name FourWordly(dot)com today and develop it into a #SocialMedia website with a… https://t.co/hITxWQgLAV",TRUE
"2018-09-04",0,FALSE,"1036791706568609792",TRUE,NA,NA,NA,NA,NA,1,FALSE,"coolmentoring","<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","RT @ShortcutIn: Remember the days you prayed for the things you have now #money #rich #inspiration #Motivation #mentor #mindset #Business #…",FALSE
"2018-09-04",0,FALSE,"1036791705859702784",FALSE,NA,NA,NA,NA,NA,0,FALSE,"BOMB__diggidy","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","minding your business saves y’all so much unnecessary drama",FALSE
"2018-09-04",0,FALSE,"1036791705578741760",TRUE,NA,NA,NA,NA,NA,15257,FALSE,"mdmathis65","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BajanShvm: The “Damn, mind ya business” face she gave him 😂💀 https://t.co/IzturQ0CO7",FALSE
"2018-09-04",0,FALSE,"1036791705431957504",TRUE,NA,NA,NA,NA,NA,31,FALSE,"DigantaBJP","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ANI: India is the world’s fastest-growing large economy. Our GDP grew at a scorching 8.2% in the previous quarter. India is open for bu…",FALSE
"2018-09-04",0,FALSE,"1036791704437907462",TRUE,NA,NA,NA,NA,NA,106,FALSE,"StradlingDianne","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","RT @shannoncoulter: Reminder that Nike also made a very smart business when it recently pulled its iconic Niketown, one of Donald's most lu…",FALSE
"2018-09-04",1,FALSE,"1036791702093287425",FALSE,NA,NA,"1036790156920020992","cenewman0","417544907",0,FALSE,"CEStephens","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@cenewman0 Educational! The hurricane map was serious business. If you missed the coordinates you could lose it!",FALSE
"2018-09-04",0,FALSE,"1036791701602480129",TRUE,NA,NA,NA,NA,NA,13,FALSE,"Sharoney","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @PaulRudnickNY: People need to understand: Ivanka only attended the memorial because she thought it was for her fashion business

#Ivank…",FALSE
"2018-09-04",0,FALSE,"1036791699719249923",FALSE,NA,NA,NA,NA,NA,0,FALSE,"ctovision","<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","Internet of Things for healthcare, Renesas buys IDT for $6 billion, Alibaba scraps is US cloud business, ZTE hit by… https://t.co/01MD6tUBYf",TRUE
"2018-09-04",0,FALSE,"1036791698716688385",FALSE,NA,NA,"1036789370424983552","ongtagious","836401469590925312",0,FALSE,"ongtagious","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","walaupun sebenarnya data mining could involve sneaky dirty practice like that :/ guess in business it's all tolerable",FALSE
